entity_id,name,domain,stress_score,logistic_score,viability_score
ncbi_gene_4346606,TOP6B,biology,0.214299412557166,0.7443196268161365,0.47930953
ncbi_gene_4346506,LOC4346506,biology,0.38280480872999617,0.5832459929335279,0.4830254
ncbi_gene_4346491,LOC4346491,biology,0.1608975530947307,0.8450056725745544,0.5029516
ncbi_gene_4346402,KIN4A,biology,0.20352075636114816,0.7490521749790499,0.47628647
ncbi_gene_4346388,LOC4346388,biology,0.28125437477835485,0.665587703782956,0.47342104
ncbi_gene_4346358,LOC4346358,biology,0.07878370321839066,1.0,0.5393919
ncbi_gene_4346342,LOC4346342,biology,0.47267015392999573,0.48378386831733944,0.47822702
ncbi_gene_4346329,LOC4346329,biology,0.29735204877335025,0.659501573835048,0.4784268
ncbi_gene_4346316,LOC4346316,biology,0.07286612831530227,1.0,0.53643304
ncbi_gene_4346299,LOC4346299,biology,0.2789934458637349,0.665587703782956,0.47229058
ncbi_gene_4346293,LOC4346293,biology,0.32482190419136237,0.5873357794991299,0.45607883
ncbi_gene_4346247,LOC4346247,biology,0.24180268905183236,0.7203980631796767,0.48110038
ncbi_gene_4347173,LOC4347173,biology,0.07286612831530227,1.0,0.53643304
ncbi_gene_4347178,LOC4347178,biology,0.0694151512543646,1.0,0.53470755
ncbi_gene_4347180,LOC4347180,biology,0.17522944259808124,0.8450056725745544,0.51011753
ncbi_gene_4347617,LOC4347617,biology,0.26400951505975867,0.665587703782956,0.4647986
ncbi_gene_4347929,LOC4347929,biology,0.24048945092420973,0.7293518195215003,0.48492065
ncbi_gene_4347913,PHT4;4,biology,0.2575056353142013,0.6742285598808998,0.4658671
ncbi_gene_4347855,LOC4347855,biology,0.4148947235478819,0.536371057853579,0.4756329
ncbi_gene_4347820,PHT4;5,biology,0.48821897431176875,0.46665628829690364,0.47743762
ncbi_gene_4347789,LOC4347789,biology,0.07832479581588435,1.0,0.5391624
ncbi_gene_4347708,LOC4347708,biology,0.1240447707918172,0.8599907001019863,0.49201775
ncbi_gene_4347707,LOC4347707,biology,0.21335718572421133,0.7443196268161365,0.4788384
ncbi_gene_4347645,KIN7J,biology,0.07878370321839066,1.0,0.5393919
ncbi_gene_4347618,LOC4347618,biology,0.16797375611627025,0.8450056725745544,0.5064897
ncbi_gene_4347517,LOC4347517,biology,0.24180268905183236,0.7203980631796767,0.48110038
ncbi_gene_4347211,LOC4347211,biology,0.11583592661841509,0.9236149246656711,0.51972544
ncbi_gene_4347516,LOC4347516,biology,0.17369957371982817,0.8450056725745544,0.5093526
ncbi_gene_4347514,LOC4347514,biology,0.4021223890108855,0.5381142147559843,0.47011828
ncbi_gene_4347432,LOC4347432,biology,0.26877382013183954,0.665587703782956,0.46718076
ncbi_gene_4347423,LOC4347423,biology,0.21335718572421133,0.7443196268161365,0.4788384
ncbi_gene_4347328,LOC4347328,biology,0.12057122204089143,0.9012983446581732,0.51093477
ncbi_gene_4347319,LOC4347319,biology,0.46428451148576094,0.4981659992160021,0.48122525
ncbi_gene_4347276,LOC4347276,biology,0.17111998454981758,0.8450056725745544,0.50806284
ncbi_gene_4347259,LOC4347259,biology,0.4021223890108855,0.5381142147559843,0.47011828
ncbi_gene_4347213,LOC4347213,biology,0.44532623689573264,0.5158899462240909,0.4806081
ncbi_gene_4346187,LOC4346187,biology,0.11383108266179794,0.9305933899636227,0.5222122
ncbi_gene_4346173,LOC4346173,biology,0.07346285424152675,1.0,0.5367314
ncbi_gene_4344443,LOC4344443,biology,0.35136940093168517,0.5856845697415353,0.468527
ncbi_gene_4346169,LOC4346169,biology,0.4774869948981418,0.48242030072658915,0.47995365
ncbi_gene_4345220,LOC4345220,biology,0.13575595734946955,0.8450056725745544,0.49038082
ncbi_gene_4345183,LOC4345183,biology,0.17522944259808124,0.8450056725745544,0.51011753
ncbi_gene_4345019,LOC4345019,biology,0.38280480872999617,0.5832459929335279,0.4830254
